"Vetergesic® Multidose 0.3 mg/ml Solution for Injection for Dogs, Cats and Horses",448842
Zodon® 25 mg/ml oral solution for cats and dogs,448894
Zodon® 88 mg and 264 mg Tablets for Dogs,448907
Bupaq Multidose 0.3mg/ml Solution for Injection for Dogs and Cats,449035
"Butador 10 mg/ml solution for injection for horses, dogs and cats",449047
Canidryl 20mg and 100mg Tablets for Dogs,449059
Chanazine 2% Injection,449077
Clinacin 25mg and 300mg Tablets,449119
"Fenoflox 50mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",449161
Fipnil Spot-on Solution for Dogs,449192
Metacam 1 mg and 2.5 mg chewable tablets for dogs,447622
Metacam 5 mg/ml solution for injection for dogs and cats,447648
"Pexion 100 mg tablets for dogs, Pexion 400 mg tablets for dogs",447725
ProZinc 40 IU/ml suspension for injection for cats and dogs,447762
Vetmedin 0.75 mg/ml solution for injection for dogs,447911
Vetmedin 5 mg hard capsules,447935
"Kesium® 40mg/10mg & 50mg/12.5mg chewable tablets for cats & dogs and Kesium® 200mg/50mg, 400mg/100mg & 500mg/125mg chewable tablets for dogs",448386
Nelio® 5 mg and 20 mg Tablets for Dogs,448534
Therios® 300 mg and 750 mg Palatable Tablets for Dogs,448753
Vetergesic® 0.3 mg/ml Solution for Injection for Dogs and Cats,448828
Cartrophen Vet 100mg/ml Solution for Injection,446151
Droncit Tablets 50 mg,446534
"Drontal Dog Tasty Bone 150/144/50 mg Tablets
Drontal Dog Tasty Bone XL 525/504/175 mg tablets",446558
Drontal Oral Suspension for Puppies,446570
Bimoxyl LA 150 mg/ml Amoxicillin Suspension for Injection,446888
"Dexa-ject 2 mg/ml Solution for Injection for Cattle, Horses, Pigs, Dogs & Cats",446995
"Benefortin Flavour 2.5 mg and 5 mg tablets for cats and dogs, Benefortin Flavour 20 mg tablets for dogs",447423
Bisolvon 10mg/g Oral Powder,447448
Buscopan Compositum Solution for Injection,447486
Metacam 1.5 mg/ml oral suspension for dogs,447609
